mir,gene
hsa-let-7a-5p,KCNC2
hsa-let-7a-5p,NAP1L1
hsa-let-7a-5p,DUSP6
hsa-let-7a-5p,ATP2B1
hsa-let-7a-5p,FGD6
hsa-let-7a-5p,GNPTAB
hsa-let-7a-5p,ABCB9
hsa-let-7a-5p,CCND2
hsa-let-7a-5p,PLEKHG6
hsa-let-7a-5p,GOLT1B
hsa-let-7a-5p,ACVR1B
hsa-let-7a-5p,ESPL1
hsa-let-7a-5p,TARBP2
hsa-let-7a-5p,HOXC11
hsa-let-7a-5p,SPRYD4
hsa-let-7a-5p,HMGA2
hsa-let-7a-5p,DYRK2
hsa-let-7a-5p,ATP2A2
hsa-let-7a-5p,ERP29
hsa-let-7a-5p,ZNF10
hsa-let-7a-5p,KATNAL1
hsa-let-7a-5p,STARD13
hsa-let-7a-5p,NEK3
hsa-let-7a-5p,IRS2
hsa-let-7a-5p,COL4A1
hsa-let-7a-5p,UFM1
hsa-let-7a-5p,NHLRC3
hsa-let-7a-5p,FNDC3A
hsa-let-7a-5p,ERO1A
hsa-let-7a-5p,RAB15
hsa-let-7a-5p,ZFYVE26
hsa-let-7a-5p,GALC
hsa-let-7a-5p,BEGAIN
hsa-let-7a-5p,NYNRIN
hsa-let-7a-5p,KHNYN
hsa-let-7a-5p,C14orf28
hsa-let-7a-5p,SOCS4
hsa-let-7a-5p,NAA30
hsa-let-7a-5p,ARG2
hsa-let-7a-5p,TECPR2
hsa-let-7a-5p,NIPA1
hsa-let-7a-5p,KATNBL1
hsa-let-7a-5p,MEIS2
hsa-let-7a-5p,RASGRP1
hsa-let-7a-5p,GATM
hsa-let-7a-5p,ARPP19
hsa-let-7a-5p,PRTG
hsa-let-7a-5p,IGDCC3
hsa-let-7a-5p,IGDCC4
hsa-let-7a-5p,CPEB1
hsa-let-7a-5p,C15orf41
hsa-let-7a-5p,THBS1
hsa-let-7a-5p,RPUSD2
hsa-let-7a-5p,SNAP23
hsa-let-7a-5p,CTDSPL2
hsa-let-7a-5p,MAPK6
hsa-let-7a-5p,RAB8B
hsa-let-7a-5p,ARID3B
hsa-let-7a-5p,C15orf39
hsa-let-7a-5p,FAM103A1
hsa-let-7a-5p,AEN
hsa-let-7a-5p,ZNF710
hsa-let-7a-5p,ARRDC4
hsa-let-7a-5p,IGF1R
hsa-let-7a-5p,PRSS22
hsa-let-7a-5p,SOCS1
hsa-let-7a-5p,DCUN1D3
hsa-let-7a-5p,ZNF689
hsa-let-7a-5p,DNAJA2
hsa-let-7a-5p,NME4
hsa-let-7a-5p,TMC7
hsa-let-7a-5p,EEF2K
hsa-let-7a-5p,PDPR
hsa-let-7a-5p,DDX19B
hsa-let-7a-5p,DDX19A
hsa-let-7a-5p,AC012184.2
hsa-let-7a-5p,GAN
hsa-let-7a-5p,TP53
hsa-let-7a-5p,GAS7
hsa-let-7a-5p,ULK2
hsa-let-7a-5p,CCR7
hsa-let-7a-5p,GJC1
hsa-let-7a-5p,COL1A1
hsa-let-7a-5p,COIL
hsa-let-7a-5p,INTS2
hsa-let-7a-5p,LIMD2
hsa-let-7a-5p,HELZ
hsa-let-7a-5p,FAM104A
hsa-let-7a-5p,GGA3
hsa-let-7a-5p,CTNS
hsa-let-7a-5p,ARHGEF15
hsa-let-7a-5p,NLK
hsa-let-7a-5p,CPD
hsa-let-7a-5p,RAB11FIP4
hsa-let-7a-5p,CCL7
hsa-let-7a-5p,ARL4D
hsa-let-7a-5p,ITGB3
hsa-let-7a-5p,TBKBP1
hsa-let-7a-5p,IGF2BP1
hsa-let-7a-5p,GDPD1
hsa-let-7a-5p,SEC14L1
hsa-let-7a-5p,ZNF516
hsa-let-7a-5p,ARHGAP28
hsa-let-7a-5p,MIB1
hsa-let-7a-5p,RIOK3
hsa-let-7a-5p,GALNT1
hsa-let-7a-5p,RNF165
hsa-let-7a-5p,ONECUT2
hsa-let-7a-5p,INSR
hsa-let-7a-5p,MYO1F
hsa-let-7a-5p,FBXL12
hsa-let-7a-5p,GIPC1
hsa-let-7a-5p,ZNF566
hsa-let-7a-5p,TMEM143
hsa-let-7a-5p,ARID3A
hsa-let-7a-5p,DCAF15
hsa-let-7a-5p,PLD3
hsa-let-7a-5p,GEMIN7
hsa-let-7a-5p,ZNF583
hsa-let-7a-5p,ZNF543
hsa-let-7a-5p,PXDN
hsa-let-7a-5p,E2F6
hsa-let-7a-5p,SLC5A6
hsa-let-7a-5p,MAP4K3
hsa-let-7a-5p,SEMA4C
hsa-let-7a-5p,MGAT4A
hsa-let-7a-5p,POLR2D
hsa-let-7a-5p,ACVR1C
hsa-let-7a-5p,RBMS1
hsa-let-7a-5p,FIGN
hsa-let-7a-5p,COL5A2
hsa-let-7a-5p,IKZF2
hsa-let-7a-5p,EPHA4
hsa-let-7a-5p,HDLBP
hsa-let-7a-5p,RRM2
hsa-let-7a-5p,GREB1
hsa-let-7a-5p,MYCN
hsa-let-7a-5p,MXD1
hsa-let-7a-5p,KDM3A
hsa-let-7a-5p,RANBP2
hsa-let-7a-5p,TTL
hsa-let-7a-5p,SLC20A1
hsa-let-7a-5p,ACVR2A
hsa-let-7a-5p,HOXD1
hsa-let-7a-5p,COL3A1
hsa-let-7a-5p,C2orf88
hsa-let-7a-5p,MOB4
hsa-let-7a-5p,BZW1
hsa-let-7a-5p,PNKD
hsa-let-7a-5p,TTLL4
hsa-let-7a-5p,C20orf194
hsa-let-7a-5p,GPCPD1
hsa-let-7a-5p,BCL2L1
hsa-let-7a-5p,PLAGL2
hsa-let-7a-5p,ZNF512B
hsa-let-7a-5p,ZCCHC3
hsa-let-7a-5p,BTBD3
hsa-let-7a-5p,ZNF341
hsa-let-7a-5p,PARD6B
hsa-let-7a-5p,ADAMTS5
hsa-let-7a-5p,LTN1
hsa-let-7a-5p,TMPRSS2
hsa-let-7a-5p,BACH1
hsa-let-7a-5p,DYRK1A
hsa-let-7a-5p,BACE2
hsa-let-7a-5p,ZNF280B
hsa-let-7a-5p,PIK3IP1
hsa-let-7a-5p,PDGFB
hsa-let-7a-5p,HIC2
hsa-let-7a-5p,KREMEN1
hsa-let-7a-5p,MIEF1
hsa-let-7a-5p,FAM118A
hsa-let-7a-5p,ANKRD28
hsa-let-7a-5p,TMPPE
hsa-let-7a-5p,CLASP2
hsa-let-7a-5p,SMARCC1
hsa-let-7a-5p,CDC25A
hsa-let-7a-5p,NME6
hsa-let-7a-5p,QARS
hsa-let-7a-5p,EOGT
hsa-let-7a-5p,FRMD4B
hsa-let-7a-5p,CD200R1
hsa-let-7a-5p,PLXND1
hsa-let-7a-5p,KPNA4
hsa-let-7a-5p,KLHL6
hsa-let-7a-5p,ABCC5
hsa-let-7a-5p,IGF2BP2
hsa-let-7a-5p,MASP1
hsa-let-7a-5p,TRIM71
hsa-let-7a-5p,KLHDC8B
hsa-let-7a-5p,PDE12
hsa-let-7a-5p,CDV3
hsa-let-7a-5p,RNF7
hsa-let-7a-5p,TSC22D2
hsa-let-7a-5p,FNDC3B
hsa-let-7a-5p,TTC14
hsa-let-7a-5p,SENP2
hsa-let-7a-5p,FBXO45
hsa-let-7a-5p,BEND4
hsa-let-7a-5p,CASP3
hsa-let-7a-5p,PCGF3
hsa-let-7a-5p,CPEB2
hsa-let-7a-5p,MED28
hsa-let-7a-5p,SLC4A4
hsa-let-7a-5p,FRAS1
hsa-let-7a-5p,SMARCAD1
hsa-let-7a-5p,ARHGEF38
hsa-let-7a-5p,USP38
hsa-let-7a-5p,RICTOR
hsa-let-7a-5p,SLC38A9
hsa-let-7a-5p,GCNT4
hsa-let-7a-5p,COL4A3BP
hsa-let-7a-5p,FNIP1
hsa-let-7a-5p,APBB3
hsa-let-7a-5p,HAND1
hsa-let-7a-5p,DUSP1
hsa-let-7a-5p,SUB1
hsa-let-7a-5p,OSMR
hsa-let-7a-5p,C5orf51
hsa-let-7a-5p,MAP3K1
hsa-let-7a-5p,SREK1
hsa-let-7a-5p,SOWAHA
hsa-let-7a-5p,ADRB2
hsa-let-7a-5p,GRPEL2
hsa-let-7a-5p,PPARGC1B
hsa-let-7a-5p,SMIM3
hsa-let-7a-5p,AC010441.1
hsa-let-7a-5p,CPEB4
hsa-let-7a-5p,TRIM41
hsa-let-7a-5p,PXT1
hsa-let-7a-5p,ZNF318
hsa-let-7a-5p,KLHL31
hsa-let-7a-5p,ELOVL4
hsa-let-7a-5p,SLC2A12
hsa-let-7a-5p,EDN1
hsa-let-7a-5p,MRS2
hsa-let-7a-5p,HMGA1
hsa-let-7a-5p,SLC25A27
hsa-let-7a-5p,FAM135A
hsa-let-7a-5p,LIN28B
hsa-let-7a-5p,RFX6
hsa-let-7a-5p,UTRN
hsa-let-7a-5p,TAB2
hsa-let-7a-5p,IGF2BP3
hsa-let-7a-5p,OSBPL3
hsa-let-7a-5p,HOXA1
hsa-let-7a-5p,CCDC71L
hsa-let-7a-5p,WASL
hsa-let-7a-5p,BZW2
hsa-let-7a-5p,STARD3NL
hsa-let-7a-5p,GTF2I
hsa-let-7a-5p,DTX2
hsa-let-7a-5p,CLDN12
hsa-let-7a-5p,COL1A2
hsa-let-7a-5p,PEG10
hsa-let-7a-5p,AP1S1
hsa-let-7a-5p,LRRC17
hsa-let-7a-5p,BCAP29
hsa-let-7a-5p,CPED1
hsa-let-7a-5p,CPA4
hsa-let-7a-5p,DLC1
hsa-let-7a-5p,BIN3
hsa-let-7a-5p,ADRB3
hsa-let-7a-5p,PLPP5
hsa-let-7a-5p,RNF170
hsa-let-7a-5p,SNX16
hsa-let-7a-5p,GDF6
hsa-let-7a-5p,SLC25A32
hsa-let-7a-5p,HAS2
hsa-let-7a-5p,TMEM65
hsa-let-7a-5p,ASAP1
hsa-let-7a-5p,ZC3H3
hsa-let-7a-5p,C8orf58
hsa-let-7a-5p,LEPROTL1
hsa-let-7a-5p,RDH10
hsa-let-7a-5p,ZBTB10
hsa-let-7a-5p,E2F5
hsa-let-7a-5p,MTDH
hsa-let-7a-5p,PTPRD
hsa-let-7a-5p,FAM214B
hsa-let-7a-5p,ZBTB5
hsa-let-7a-5p,PTAR1
hsa-let-7a-5p,KLF9
hsa-let-7a-5p,TMEM2
hsa-let-7a-5p,C9orf40
hsa-let-7a-5p,SLC35D2
hsa-let-7a-5p,AL160269.1
hsa-let-7a-5p,ELP1
hsa-let-7a-5p,STRBP
hsa-let-7a-5p,TSC1
hsa-let-7a-5p,PLPP6
hsa-let-7a-5p,UHRF2
hsa-let-7a-5p,ACER2
hsa-let-7a-5p,HABP4
hsa-let-7a-5p,COL15A1
hsa-let-7a-5p,TGFBR1
hsa-let-7a-5p,RNF20
hsa-let-7a-5p,SNX30
hsa-let-7a-5p,PAPPA
hsa-let-7a-5p,CNTRL
hsa-let-7a-5p,PBX3
hsa-let-7a-5p,CERCAM
hsa-let-7a-5p,PUDP
hsa-let-7a-5p,PIGA
hsa-let-7a-5p,CTPS2
hsa-let-7a-5p,DMD
hsa-let-7a-5p,SMC1A
hsa-let-7a-5p,PCDH19
hsa-let-7a-5p,COL4A6
hsa-let-7a-5p,AMOT
hsa-let-7a-5p,KLHL13
hsa-let-7a-5p,THOC2
hsa-let-7a-5p,XK
hsa-let-7a-5p,CLCN5
hsa-let-7a-5p,PGRMC1
hsa-let-7a-5p,INTS6L
hsa-let-7a-5p,ZNF275
hsa-let-7b-5p,GALE
hsa-let-7b-5p,PTAFR
hsa-let-7b-5p,MYCBP
hsa-let-7b-5p,MED8
hsa-let-7b-5p,ZSWIM5
hsa-let-7b-5p,ATPAF1
hsa-let-7b-5p,USP24
hsa-let-7b-5p,GNG5
hsa-let-7b-5p,ZNF644
hsa-let-7b-5p,SLC25A24
hsa-let-7b-5p,NRAS
hsa-let-7b-5p,NGF
hsa-let-7b-5p,WARS2
hsa-let-7b-5p,ZNF697
hsa-let-7b-5p,POGZ
hsa-let-7b-5p,SCYL3
hsa-let-7b-5p,ABL2
hsa-let-7b-5p,RGS16
hsa-let-7b-5p,EDEM3
hsa-let-7b-5p,PPP1R15B
hsa-let-7b-5p,YOD1
hsa-let-7b-5p,LPGAT1
hsa-let-7b-5p,ACTA1
hsa-let-7b-5p,AHCTF1
hsa-let-7b-5p,TNFRSF1B
hsa-let-7b-5p,PRDM2
hsa-let-7b-5p,EFHD2
hsa-let-7b-5p,DDI2
hsa-let-7b-5p,PQLC2
hsa-let-7b-5p,XKR8
hsa-let-7b-5p,AGO4
hsa-let-7b-5p,CTPS1
hsa-let-7b-5p,HOOK1
hsa-let-7b-5p,PKN2
hsa-let-7b-5p,PRPF38B
hsa-let-7b-5p,LRIG2
hsa-let-7b-5p,PLEKHO1
hsa-let-7b-5p,ADAM15
hsa-let-7b-5p,PBX1
hsa-let-7b-5p,PRRX1
hsa-let-7b-5p,SWT1
hsa-let-7b-5p,MFSD4A
hsa-let-7b-5p,VASH2
hsa-let-7b-5p,SKIDA1
hsa-let-7b-5p,ERCC6
hsa-let-7b-5p,SLC16A9
hsa-let-7b-5p,NDST2
hsa-let-7b-5p,AC022400.6
hsa-let-7b-5p,CPEB3
hsa-let-7b-5p,WDR37
hsa-let-7b-5p,MLLT10
hsa-let-7b-5p,CCNY
hsa-let-7b-5p,FAS
hsa-let-7b-5p,HECTD2
hsa-let-7b-5p,CCNJ
hsa-let-7b-5p,LCOR
hsa-let-7b-5p,SCD
hsa-let-7b-5p,SLF2
hsa-let-7b-5p,SEMA4G
hsa-let-7b-5p,TAF5
hsa-let-7b-5p,NUP98
hsa-let-7b-5p,EIF4G2
hsa-let-7b-5p,LGR4
hsa-let-7b-5p,SYT7
hsa-let-7b-5p,B4GAT1
hsa-let-7b-5p,PAK1
hsa-let-7b-5p,KCTD21
hsa-let-7b-5p,FZD4
hsa-let-7b-5p,RDX
hsa-let-7b-5p,ADAMTS8
hsa-let-7b-5p,CLP1
hsa-let-7b-5p,STX3
hsa-let-7b-5p,TMEM135
hsa-let-7b-5p,ANKRD49
hsa-let-7b-5p,NKAPD1
hsa-let-7b-5p,CHD4
hsa-let-7b-5p,BCAT1
hsa-let-7b-5p,GXYLT1
hsa-let-7b-5p,KMT2D
hsa-let-7b-5p,SMUG1
hsa-let-7b-5p,ZBTB39
hsa-let-7b-5p,NEMP1
hsa-let-7b-5p,LRIG3
hsa-let-7b-5p,KCNC2
hsa-let-7b-5p,NAP1L1
hsa-let-7b-5p,ATP2B1
hsa-let-7b-5p,EEA1
hsa-let-7b-5p,FGD6
hsa-let-7b-5p,GNPTAB
hsa-let-7b-5p,ABCB9
hsa-let-7b-5p,CCND2
hsa-let-7b-5p,PLEKHG6
hsa-let-7b-5p,GOLT1B
hsa-let-7b-5p,ACVR1B
hsa-let-7b-5p,ESPL1
hsa-let-7b-5p,TARBP2
hsa-let-7b-5p,HOXC11
hsa-let-7b-5p,SPRYD4
hsa-let-7b-5p,HMGA2
hsa-let-7b-5p,DYRK2
hsa-let-7b-5p,VEZT
hsa-let-7b-5p,ATP2A2
hsa-let-7b-5p,ERP29
hsa-let-7b-5p,ZNF10
hsa-let-7b-5p,KATNAL1
hsa-let-7b-5p,STARD13
hsa-let-7b-5p,NEK3
hsa-let-7b-5p,IRS2
hsa-let-7b-5p,COL4A1
hsa-let-7b-5p,UFM1
hsa-let-7b-5p,NHLRC3
hsa-let-7b-5p,FNDC3A
hsa-let-7b-5p,ERO1A
hsa-let-7b-5p,RAB15
hsa-let-7b-5p,ZFYVE26
hsa-let-7b-5p,GALC
hsa-let-7b-5p,BEGAIN
hsa-let-7b-5p,NYNRIN
hsa-let-7b-5p,KHNYN
hsa-let-7b-5p,C14orf28
hsa-let-7b-5p,SOCS4
hsa-let-7b-5p,NAA30
hsa-let-7b-5p,ARG2
hsa-let-7b-5p,CALM1
hsa-let-7b-5p,TECPR2
hsa-let-7b-5p,NIPA1
hsa-let-7b-5p,KATNBL1
hsa-let-7b-5p,MEIS2
hsa-let-7b-5p,RASGRP1
hsa-let-7b-5p,GATM
hsa-let-7b-5p,ARPP19
hsa-let-7b-5p,PRTG
hsa-let-7b-5p,IGDCC3
hsa-let-7b-5p,IGDCC4
hsa-let-7b-5p,CPEB1
hsa-let-7b-5p,C15orf41
hsa-let-7b-5p,THBS1
hsa-let-7b-5p,RPUSD2
hsa-let-7b-5p,SNAP23
hsa-let-7b-5p,CTDSPL2
hsa-let-7b-5p,MAPK6
hsa-let-7b-5p,RAB8B
hsa-let-7b-5p,ARID3B
hsa-let-7b-5p,C15orf39
hsa-let-7b-5p,FAM103A1
hsa-let-7b-5p,AEN
hsa-let-7b-5p,ZNF710
hsa-let-7b-5p,ARRDC4
hsa-let-7b-5p,IGF1R
hsa-let-7b-5p,PRSS22
hsa-let-7b-5p,SOCS1
hsa-let-7b-5p,DCUN1D3
hsa-let-7b-5p,ZNF689
hsa-let-7b-5p,DNAJA2
hsa-let-7b-5p,CBFA2T3
hsa-let-7b-5p,NME4
hsa-let-7b-5p,TMC7
hsa-let-7b-5p,EEF2K
hsa-let-7b-5p,PDPR
hsa-let-7b-5p,DDX19B
hsa-let-7b-5p,DDX19A
hsa-let-7b-5p,AC012184.2
hsa-let-7b-5p,GAN
hsa-let-7b-5p,TP53
hsa-let-7b-5p,GAS7
hsa-let-7b-5p,ULK2
hsa-let-7b-5p,CCR7
hsa-let-7b-5p,GJC1
hsa-let-7b-5p,COL1A1
hsa-let-7b-5p,COIL
hsa-let-7b-5p,INTS2
hsa-let-7b-5p,LIMD2
hsa-let-7b-5p,HELZ
hsa-let-7b-5p,FAM104A
hsa-let-7b-5p,GGA3
hsa-let-7b-5p,CTNS
hsa-let-7b-5p,ARHGEF15
hsa-let-7b-5p,NLK
hsa-let-7b-5p,CPD
hsa-let-7b-5p,RAB11FIP4
hsa-let-7b-5p,CCL7
hsa-let-7b-5p,ARL4D
hsa-let-7b-5p,ITGB3
hsa-let-7b-5p,TBKBP1
hsa-let-7b-5p,IGF2BP1
hsa-let-7b-5p,GDPD1
hsa-let-7b-5p,SEC14L1
hsa-let-7b-5p,ZNF516
hsa-let-7b-5p,ARHGAP28
hsa-let-7b-5p,MIB1
hsa-let-7b-5p,RIOK3
hsa-let-7b-5p,GALNT1
hsa-let-7b-5p,RNF165
hsa-let-7b-5p,ONECUT2
hsa-let-7b-5p,INSR
hsa-let-7b-5p,MYO1F
hsa-let-7b-5p,GIPC1
hsa-let-7b-5p,ZNF792
hsa-let-7b-5p,ZNF566
hsa-let-7b-5p,TMEM143
hsa-let-7b-5p,ARID3A
hsa-let-7b-5p,DCAF15
hsa-let-7b-5p,GEMIN7
hsa-let-7b-5p,ZNF583
hsa-let-7b-5p,ZNF543
hsa-let-7b-5p,PXDN
hsa-let-7b-5p,E2F6
hsa-let-7b-5p,SLC5A6
hsa-let-7b-5p,DHX57
hsa-let-7b-5p,MAP4K3
hsa-let-7b-5p,SEMA4C
hsa-let-7b-5p,MGAT4A
hsa-let-7b-5p,CCDC93
hsa-let-7b-5p,POLR2D
hsa-let-7b-5p,ACVR1C
hsa-let-7b-5p,FIGN
hsa-let-7b-5p,COL5A2
hsa-let-7b-5p,EPHA4
hsa-let-7b-5p,HDLBP
hsa-let-7b-5p,RRM2
hsa-let-7b-5p,GREB1
hsa-let-7b-5p,MYCN
hsa-let-7b-5p,MXD1
hsa-let-7b-5p,KDM3A
hsa-let-7b-5p,RANBP2
hsa-let-7b-5p,TTL
hsa-let-7b-5p,SLC20A1
hsa-let-7b-5p,RALB
hsa-let-7b-5p,ACVR2A
hsa-let-7b-5p,ARL6IP6
hsa-let-7b-5p,HOXD1
hsa-let-7b-5p,COL3A1
hsa-let-7b-5p,C2orf88
hsa-let-7b-5p,MOB4
hsa-let-7b-5p,BZW1
hsa-let-7b-5p,PNKD
hsa-let-7b-5p,TTLL4
hsa-let-7b-5p,C20orf194
hsa-let-7b-5p,GPCPD1
hsa-let-7b-5p,BCL2L1
hsa-let-7b-5p,PLAGL2
hsa-let-7b-5p,ZNF512B
hsa-let-7b-5p,ZCCHC3
hsa-let-7b-5p,BTBD3
hsa-let-7b-5p,ZNF341
hsa-let-7b-5p,PARD6B
hsa-let-7b-5p,ADAMTS5
hsa-let-7b-5p,LTN1
hsa-let-7b-5p,TMPRSS2
hsa-let-7b-5p,BACH1
hsa-let-7b-5p,DYRK1A
hsa-let-7b-5p,BACE2
hsa-let-7b-5p,ZNF280B
hsa-let-7b-5p,PIK3IP1
hsa-let-7b-5p,PDGFB
hsa-let-7b-5p,HIC2
hsa-let-7b-5p,KREMEN1
hsa-let-7b-5p,MIEF1
hsa-let-7b-5p,FAM118A
hsa-let-7b-5p,ANKRD28
hsa-let-7b-5p,TMPPE
hsa-let-7b-5p,CLASP2
hsa-let-7b-5p,TRANK1
hsa-let-7b-5p,SMARCC1
hsa-let-7b-5p,CDC25A
hsa-let-7b-5p,NME6
hsa-let-7b-5p,QARS
hsa-let-7b-5p,EOGT
hsa-let-7b-5p,FRMD4B
hsa-let-7b-5p,CD200R1
hsa-let-7b-5p,PLXND1
hsa-let-7b-5p,KPNA4
hsa-let-7b-5p,KLHL6
hsa-let-7b-5p,ABCC5
hsa-let-7b-5p,IGF2BP2
hsa-let-7b-5p,MASP1
hsa-let-7b-5p,TRIM71
hsa-let-7b-5p,GOLGA4
hsa-let-7b-5p,LIMD1
hsa-let-7b-5p,KLHDC8B
hsa-let-7b-5p,PDE12
hsa-let-7b-5p,CDV3
hsa-let-7b-5p,RNF7
hsa-let-7b-5p,TSC22D2
hsa-let-7b-5p,FNDC3B
hsa-let-7b-5p,TTC14
hsa-let-7b-5p,SENP2
hsa-let-7b-5p,FBXO45
hsa-let-7b-5p,LCORL
hsa-let-7b-5p,BEND4
hsa-let-7b-5p,CASP3
hsa-let-7b-5p,PCGF3
hsa-let-7b-5p,CPEB2
hsa-let-7b-5p,MED28
hsa-let-7b-5p,SLC4A4
hsa-let-7b-5p,FRAS1
hsa-let-7b-5p,SMARCAD1
hsa-let-7b-5p,ARHGEF38
hsa-let-7b-5p,USP38
hsa-let-7b-5p,RICTOR
hsa-let-7b-5p,SLC38A9
hsa-let-7b-5p,SREK1IP1
hsa-let-7b-5p,GCNT4
hsa-let-7b-5p,COL4A3BP
hsa-let-7b-5p,FNIP1
hsa-let-7b-5p,APBB3
hsa-let-7b-5p,HAND1
hsa-let-7b-5p,DUSP1
hsa-let-7b-5p,RNF44
hsa-let-7b-5p,SUB1
hsa-let-7b-5p,OSMR
hsa-let-7b-5p,C5orf51
hsa-let-7b-5p,MAP3K1
hsa-let-7b-5p,SREK1
hsa-let-7b-5p,SOWAHA
hsa-let-7b-5p,ADRB2
hsa-let-7b-5p,GRPEL2
hsa-let-7b-5p,PPARGC1B
hsa-let-7b-5p,SMIM3
hsa-let-7b-5p,AC010441.1
hsa-let-7b-5p,CPEB4
hsa-let-7b-5p,TRIM41
hsa-let-7b-5p,PXT1
hsa-let-7b-5p,ZNF318
hsa-let-7b-5p,KLHL31
hsa-let-7b-5p,ELOVL4
hsa-let-7b-5p,SLC2A12
hsa-let-7b-5p,EDN1
hsa-let-7b-5p,MRS2
hsa-let-7b-5p,HMGA1
hsa-let-7b-5p,SLC25A27
hsa-let-7b-5p,FAM135A
hsa-let-7b-5p,LIN28B
hsa-let-7b-5p,RFX6
hsa-let-7b-5p,UTRN
hsa-let-7b-5p,TAB2
hsa-let-7b-5p,IGF2BP3
hsa-let-7b-5p,OSBPL3
hsa-let-7b-5p,HOXA1
hsa-let-7b-5p,CCDC71L
hsa-let-7b-5p,WASL
hsa-let-7b-5p,BZW2
hsa-let-7b-5p,STARD3NL
hsa-let-7b-5p,GTF2I
hsa-let-7b-5p,DTX2
hsa-let-7b-5p,CLDN12
hsa-let-7b-5p,COL1A2
hsa-let-7b-5p,PEG10
hsa-let-7b-5p,AP1S1
hsa-let-7b-5p,LRRC17
hsa-let-7b-5p,BCAP29
hsa-let-7b-5p,CPED1
hsa-let-7b-5p,CPA4
hsa-let-7b-5p,DLC1
hsa-let-7b-5p,BIN3
hsa-let-7b-5p,DUSP4
hsa-let-7b-5p,ADRB3
hsa-let-7b-5p,PLPP5
hsa-let-7b-5p,SNX16
hsa-let-7b-5p,GDF6
hsa-let-7b-5p,SLC25A32
hsa-let-7b-5p,HAS2
hsa-let-7b-5p,TMEM65
hsa-let-7b-5p,ASAP1
hsa-let-7b-5p,ZC3H3
hsa-let-7b-5p,C8orf58
hsa-let-7b-5p,LEPROTL1
hsa-let-7b-5p,RDH10
hsa-let-7b-5p,PKIA
hsa-let-7b-5p,ZBTB10
hsa-let-7b-5p,E2F5
hsa-let-7b-5p,MTDH
hsa-let-7b-5p,PTPRD
hsa-let-7b-5p,FAM214B
hsa-let-7b-5p,ZBTB5
hsa-let-7b-5p,PTAR1
hsa-let-7b-5p,KLF9
hsa-let-7b-5p,TMEM2
hsa-let-7b-5p,C9orf40
